,f1,roc-auc
BernoulliNB,0.6512203292253967,0.7547409127894995
SVC,0.6031671387662147,0.7393644657231447
LogRegression,0.5923094187085449,0.7152582169451955
LightGBM,0.5335340764194282,0.6993626753534776
SGD,0.5724026156539803,0.6958211860112506
xgboost,0.5126469098256271,0.6797554298640806
GradientBoosting,0.4410258027518254,0.6787460850812115
MultionomialNB,0.633068602970552,0.6276010150798197
DecisionTree,0.5403934194518951,0.5947832421194901
